dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
paviaU,28,msobsdr3,0,1587.665,0.917,0.894,0.894,10|14|17|20|24|27|31|35|39|42|45|47|51|55|60|63|67|70|72|76|80|83|85|89|93|97|100|102,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,29,msobsdr3,0,1661.832,0.913,0.89,0.89,10|14|17|20|23|27|31|34|38|39|42|45|49|51|56|59|64|68|70|74|77|83|83|85|89|94|98|101|102,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,30,msobsdr3,0,1261.074,0.916,0.892,0.892,7|11|14|17|21|24|27|30|33|36|39|43|46|49|53|56|59|63|66|69|72|76|79|83|85|90|93|97|100|102,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,2,msobsdr3,0,1331.098,0.815,0.846,0.846,63|129,1|1
salinas,3,msobsdr3,0,1549.798,0.865,0.863,0.863,57|104|157,1|1|1
salinas,4,msobsdr3,0,1629.652,0.894,0.931,0.931,54|96|135|172,1|1|1|1
salinas,5,msobsdr3,0,1584.935,0.906,0.942,0.942,28|56|87|121|160,1|1|1|1|1
salinas,6,msobsdr3,0,1449.268,0.9,0.945,0.945,33|63|92|120|150|178,1|1|1|1|1|1
salinas,7,msobsdr3,0,1650.777,0.91,0.947,0.947,21|41|61|84|110|136|169,1|1|1|1|1|1|1
salinas,8,msobsdr3,0,1554.363,0.913,0.95,0.95,18|39|54|73|93|117|144|172,1|1|1|1|1|1|1|1
salinas,9,msobsdr3,0,1563.234,0.918,0.953,0.953,17|37|47|64|82|102|123|149|175,1|1|1|1|1|1|1|1|1
salinas,10,msobsdr3,0,1610.268,0.917,0.955,0.955,16|31|43|58|74|90|109|129|153|177,1|1|1|1|1|1|1|1|1|1
salinas,11,msobsdr3,0,1637.389,0.923,0.958,0.958,15|28|40|53|67|82|98|115|134|156|179,1|1|1|1|1|1|1|1|1|1|1
salinas,12,msobsdr3,0,1406.222,0.923,0.958,0.958,14|25|39|48|61|75|88|104|120|139|158|181,1|1|1|1|1|1|1|1|1|1|1|1
salinas,13,msobsdr3,0,1369.647,0.924,0.958,0.958,13|23|37|44|56|68|81|94|109|125|143|161|183,1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,14,msobsdr3,0,1389.824,0.923,0.957,0.957,12|21|36|41|52|62|75|86|100|114|128|147|163|184,1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,15,msobsdr3,0,1411.734,0.927,0.96,0.96,12|20|33|40|48|58|69|80|92|105|118|132|150|166|185,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,16,msobsdr3,0,1415.978,0.923,0.958,0.958,20|31|45|57|69|81|93|105|117|129|140|151|163|174|185|197,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,17,msobsdr3,0,1473.166,0.928,0.961,0.961,10|18|26|37|41|51|60|70|80|90|101|113|126|139|154|170|188,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,18,msobsdr3,0,1525.182,0.924,0.96,0.96,18|30|40|52|62|74|84|95|105|116|127|137|147|157|167|177|188|198,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
