fold,dataset,oa,aa,k
11,paviaU,0.921,0.897,0.895
12,paviaU,0.919,0.896,0.892
13,paviaU,0.92,0.892,0.894
14,paviaU,0.925,0.907,0.901
15,paviaU,0.918,0.9,0.891
16,paviaU,0.919,0.898,0.892
17,paviaU,0.919,0.898,0.892
18,paviaU,0.918,0.9,0.891
19,paviaU,0.916,0.898,0.889
0,salinas,0.918,0.958,0.909
1,salinas,0.915,0.955,0.906
2,salinas,0.914,0.959,0.905
3,salinas,0.921,0.957,0.912
4,salinas,0.915,0.958,0.906
5,salinas,0.919,0.96,0.909
6,salinas,0.919,0.957,0.91
7,salinas,0.921,0.96,0.912
8,salinas,0.917,0.96,0.908
9,salinas,0.921,0.959,0.912
10,salinas,0.913,0.957,0.903
11,salinas,0.917,0.958,0.907
12,salinas,0.916,0.958,0.907
13,salinas,0.921,0.958,0.912
14,salinas,0.919,0.96,0.91
15,salinas,0.915,0.956,0.905
16,salinas,0.922,0.96,0.913
17,salinas,0.916,0.958,0.906
18,salinas,0.918,0.959,0.909
19,salinas,0.92,0.958,0.911
0,ghisaconus,0.734,0.663,0.63
1,ghisaconus,0.728,0.618,0.619
2,ghisaconus,0.722,0.658,0.611
3,ghisaconus,0.732,0.65,0.624
4,ghisaconus,0.715,0.64,0.601
5,ghisaconus,0.738,0.656,0.635
6,ghisaconus,0.709,0.654,0.594
7,ghisaconus,0.725,0.641,0.614
8,ghisaconus,0.725,0.687,0.617
9,ghisaconus,0.716,0.633,0.601
10,ghisaconus,0.72,0.683,0.61
11,ghisaconus,0.689,0.639,0.568
12,ghisaconus,0.719,0.607,0.606
13,ghisaconus,0.734,0.65,0.631
14,ghisaconus,0.739,0.712,0.636
15,ghisaconus,0.72,0.689,0.61
16,ghisaconus,0.731,0.671,0.624
17,ghisaconus,0.725,0.624,0.614
18,ghisaconus,0.731,0.692,0.624
19,ghisaconus,0.703,0.637,0.586
